Time (seconds),Length,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
37.890625,0.032001495361328125,0.07672660797834396,0.07008661329746246,0.028406178578734398,0.010995865799486637,0.013217215426266193,0.011543387547135353,0.013017671182751656,0.011873994953930378,0.0076620737090706825,0.008515594527125359,0.007857485674321651,0.01106307003647089,0.011644608341157436,0.014049318619072437,0.006332688499242067,0.007640661206096411,0.006782012525945902,0.008928494527935982,0.010255851782858372,0.008611212484538555,0.014640283770859241,0.013807966373860836,0.011878589168190956,0.009013322181999683,0.016185786575078964,0.020875850692391396,0.02695639804005623,0.015058061107993126,0.017062772065401077,0.03138737007975578,0.046283356845378876,0.0446537546813488
37.90625,0.032001495361328125,0.06731894612312317,0.09287754446268082,0.05404748395085335,0.020041348412632942,0.031143926084041595,0.023062454536557198,0.021806353703141212,0.010675464756786823,0.01004332397133112,0.007939565926790237,0.007107332348823547,0.0047806487418711185,0.012991548515856266,0.022095341235399246,0.008782923221588135,0.007972088642418385,0.006238273810595274,0.008108081296086311,0.0046017225831747055,0.008149821311235428,0.0066908374428749084,0.006554059684276581,0.008205866441130638,0.00559952761977911,0.009463569149374962,0.01780526153743267,0.01568434201180935,0.014219980686903,0.013118624687194824,0.02052975445985794,0.021198837086558342,0.02339533343911171
37.921875,0.032001495361328125,0.051237836480140686,0.051246218383312225,0.03816787153482437,0.0064993430860340595,0.010414893738925457,0.013145332224667072,0.00955567229539156,0.012390894815325737,0.005982350558042526,0.006655667908489704,0.009412672370672226,0.007918750867247581,0.00636384217068553,0.009705263189971447,0.005385177675634623,0.005667924880981445,0.0061293961480259895,0.006289924494922161,0.008926013484597206,0.009546344168484211,0.006901000626385212,0.008905809372663498,0.008425405248999596,0.00855069886893034,0.02039368823170662,0.027398638427257538,0.02723485231399536,0.011640366166830063,0.013354025781154633,0.02428603172302246,0.03959611430764198,0.033474817872047424
37.9375,0.032001495361328125,0.06894966959953308,0.07785629481077194,0.05988306179642677,0.009158269502222538,0.02909710817039013,0.024165138602256775,0.008807266131043434,0.010847057215869427,0.018971070647239685,0.010895640589296818,0.011410925537347794,0.020592233166098595,0.016981203109025955,0.031030215322971344,0.03554917499423027,0.03399093076586723,0.026032302528619766,0.022339364513754845,0.03150947391986847,0.04327062517404556,0.028529919683933258,0.034369029104709625,0.03930492326617241,0.05728432908654213,0.0873396173119545,0.047512173652648926,0.055979665368795395,0.043297335505485535,0.04173935204744339,0.04305027052760124,0.058856070041656494,0.06910599023103714
37.953125,0.032001495361328125,0.05156848579645157,0.030165862292051315,0.05685083195567131,0.01879946142435074,0.035453684628009796,0.02460617385804653,0.009572438895702362,0.02574259229004383,0.03550775721669197,0.013939171098172665,0.015516980551183224,0.02926626428961754,0.03322969377040863,0.07103818655014038,0.060337018221616745,0.048886388540267944,0.0439651682972908,0.045078326016664505,0.06525938212871552,0.09423088282346725,0.05255107209086418,0.03896939009428024,0.03984690085053444,0.07892114669084549,0.10647627711296082,0.06667378544807434,0.07527273148298264,0.04829147085547447,0.03576405718922615,0.033271435648202896,0.04759902134537697,0.06434990465641022
37.96875,0.032001495361328125,0.04363872483372688,0.06455500423908234,0.0816367119550705,0.056969866156578064,0.017387928441166878,0.0219412948936224,0.015916910022497177,0.0231696218252182,0.05509205907583237,0.024932490661740303,0.018375404179096222,0.014640635810792446,0.02904106304049492,0.029447777196764946,0.04721031337976456,0.03197118267416954,0.029854439198970795,0.03567376360297203,0.026916246861219406,0.035527318716049194,0.01648719049990177,0.01869252882897854,0.023493381217122078,0.05318167060613632,0.047535933554172516,0.037704307585954666,0.030751775950193405,0.03685960918664932,0.027054212987422943,0.026322973892092705,0.033753652125597,0.03649003803730011
37.984375,0.032001495361328125,0.047413382679224014,0.10684026032686234,0.09219811856746674,0.032751258462667465,0.020790856331586838,0.01384018175303936,0.012024770490825176,0.019069436937570572,0.03873500972986221,0.020703868940472603,0.012299406342208385,0.009253471158444881,0.020609751343727112,0.028580084443092346,0.02493342198431492,0.023686306551098824,0.016216518357396126,0.018328821286559105,0.027288328856229782,0.022769203409552574,0.013714020140469074,0.011354587972164154,0.016380244866013527,0.026763057336211205,0.05553590506315231,0.038787759840488434,0.04571262747049332,0.03136657550930977,0.015438336879014969,0.027973076328635216,0.03678814321756363,0.03218971937894821
38,0.032001495361328125,0.07650643587112427,0.07758011668920517,0.07162749767303467,0.03493855521082878,0.023294713348150253,0.014483205042779446,0.009781880304217339,0.013771871104836464,0.022464442998170853,0.022905761376023293,0.0064874994568526745,0.008323030546307564,0.007445799186825752,0.017701033502817154,0.018590029329061508,0.013526570983231068,0.017443927004933357,0.009749416261911392,0.010603280737996101,0.00852256827056408,0.007361074909567833,0.008303997106850147,0.010813566856086254,0.025234175845980644,0.031519174575805664,0.023733919486403465,0.023568715900182724,0.019627869129180908,0.012134775519371033,0.022861720994114876,0.027953485026955605,0.02469654381275177
38.015625,0.032001495361328125,0.053364429622888565,0.06842446327209473,0.07783082127571106,0.02023143693804741,0.010379028506577015,0.011820157989859581,0.008070005103945732,0.012423744425177574,0.023754175752401352,0.008496563881635666,0.006715585943311453,0.007194800302386284,0.014717227779328823,0.016308704391121864,0.010646804235875607,0.020614655688405037,0.021041501313447952,0.03658439964056015,0.040832486003637314,0.030895685777068138,0.0167580246925354,0.014726155437529087,0.013394724577665329,0.01535956934094429,0.020225945860147476,0.023530058562755585,0.01937885768711567,0.02010888233780861,0.019448190927505493,0.021024690940976143,0.027419516816735268,0.035967856645584106
38.03125,0.032001495361328125,0.06614135950803757,0.05370533838868141,0.07596077024936676,0.04949229955673218,0.0221270564943552,0.010727948509156704,0.01833478920161724,0.023034613579511642,0.0182656142860651,0.026210453361272812,0.030228320509195328,0.033737748861312866,0.03712567314505577,0.018565455451607704,0.011594529263675213,0.02107161656022072,0.02615831233561039,0.02078373357653618,0.039096761494874954,0.030935214832425117,0.027958469465374947,0.019509801641106606,0.026028236374258995,0.014167680405080318,0.027073124423623085,0.025234293192625046,0.03255580738186836,0.02319268509745598,0.02858193777501583,0.02599443681538105,0.03079778328537941,0.0351160503923893
38.046875,0.032001495361328125,0.07239655405282974,0.04622849449515343,0.07123581320047379,0.04483933374285698,0.030070895329117775,0.012994843535125256,0.013146626763045788,0.019958853721618652,0.036081813275814056,0.045882754027843475,0.04619195684790611,0.042605072259902954,0.03406467288732529,0.025234874337911606,0.021954823285341263,0.015457352623343468,0.03172949701547623,0.021112000569701195,0.022598829120397568,0.041724830865859985,0.021490681916475296,0.0197447557002306,0.020272206515073776,0.014960238710045815,0.028479522094130516,0.023588508367538452,0.02990187704563141,0.0200418159365654,0.02488156221807003,0.026759227737784386,0.03579557314515114,0.04474552348256111
