Time (seconds),Length,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64
0.234375,0.25,0.005803876090794802,0.006041242275387049,0.004743157420307398,0.0014129426563158631,0.0026463984977453947,0.002028790069743991,0.001396633917465806,0.0030537659768015146,0.00355897075496614,0.0015016243560239673,0.001347468001767993,0.0012480573495849967,0.000764792668633163,0.0014359173364937305,0.001158519764430821,0.0009408338228240609,0.0024346255231648684,0.0036674162838608027,0.00524608651176095,0.003649243852123618,0.0017247814685106277,0.002003211760893464,0.0017972521018236876,0.002100168028846383,0.0025898031890392303,0.0029955299105495214,0.0038525662384927273,0.0026889618020504713,0.0018914919346570969,0.002823535120114684,0.0032510305754840374,0.002865258837118745,0.004872472491115332,0.007857012562453747,0.013308855704963207,0.012728990986943245,0.004613944329321384,0.004143700934946537,0.004923718981444836,0.005145758390426636,0.007749256677925587,0.006620141677558422,0.004329237621277571,0.0025269025936722755,0.004704478662461042,0.005010903812944889,0.003587479004636407,0.0033346780110150576,0.004648118279874325,0.006611496675759554,0.008126173168420792,0.00856653694063425,0.009695700369775295,0.00846133939921856,0.003739390056580305,0.004202582407742739,0.0056563084945082664,0.005449796095490456,0.006524096243083477,0.004669832065701485,0.0048649986274540424,0.006087571382522583,0.007374209817498922,0.007814549840986729,477.6795654296875
0.25,0.25,0.004872472491115332,0.007857012562453747,0.013308855704963207,0.012728990986943245,0.004613944329321384,0.004143700934946537,0.004923718981444836,0.005145758390426636,0.007749256677925587,0.006620141677558422,0.004329237621277571,0.0025269025936722755,0.004704478662461042,0.005010903812944889,0.003587479004636407,0.0033346780110150576,0.004648118279874325,0.006611496675759554,0.008126173168420792,0.00856653694063425,0.009695700369775295,0.00846133939921856,0.003739390056580305,0.004202582407742739,0.0056563084945082664,0.005449796095490456,0.006524096243083477,0.004669832065701485,0.0048649986274540424,0.006087571382522583,0.007374209817498922,0.007814549840986729,0.007302615791559219,0.008113284595310688,0.014636406674981117,0.009360356256365776,0.014934871345758438,0.0051378123462200165,0.006541624199599028,0.00488362368196249,0.0056154122576117516,0.009255243465304375,0.006237326189875603,0.006074774544686079,0.004166375380009413,0.0045022787526249886,0.007449112366884947,0.0061860280111432076,0.0042294105514883995,0.004678256344050169,0.013474704697728157,0.008674440905451775,0.007985333912074566,0.008151240646839142,0.006175247021019459,0.004475576803088188,0.004636134020984173,0.006277722772210836,0.004736987873911858,0.006651404779404402,0.0058847032487392426,0.006853762548416853,0.005532074254006147,0.006019321270287037,477.679443359375
0.265625,0.25,0.007302615791559219,0.008113284595310688,0.014636406674981117,0.009360356256365776,0.014934871345758438,0.0051378123462200165,0.006541624199599028,0.00488362368196249,0.0056154122576117516,0.009255243465304375,0.006237326189875603,0.006074774544686079,0.004166375380009413,0.0045022787526249886,0.007449112366884947,0.0061860280111432076,0.0042294105514883995,0.004678256344050169,0.013474704697728157,0.008674440905451775,0.007985333912074566,0.008151240646839142,0.006175247021019459,0.004475576803088188,0.004636134020984173,0.006277722772210836,0.004736987873911858,0.006651404779404402,0.0058847032487392426,0.006853762548416853,0.005532074254006147,0.006019321270287037,0.003875959664583206,0.011246501468122005,0.00505431555211544,0.010915332473814487,0.008699257858097553,0.00721764238551259,0.005588384345173836,0.004576803185045719,0.00444044778123498,0.008057588711380959,0.0029700950253754854,0.00410939147695899,0.003214908065274358,0.010294198989868164,0.008172051049768925,0.007125797215849161,0.007910116575658321,0.00715988501906395,0.00846925936639309,0.008179972879588604,0.006553230341523886,0.007577604614198208,0.004617978818714619,0.003906002501025796,0.0051324754022061825,0.004216352943331003,0.005826986860483885,0.004027945920825005,0.004065820015966892,0.007654265966266394,0.0065098837949335575,0.006678522098809481,477.67999267578125
0.28125,0.25,0.003875959664583206,0.011246501468122005,0.00505431555211544,0.010915332473814487,0.008699257858097553,0.00721764238551259,0.005588384345173836,0.004576803185045719,0.00444044778123498,0.008057588711380959,0.0029700950253754854,0.00410939147695899,0.003214908065274358,0.010294198989868164,0.008172051049768925,0.007125797215849161,0.007910116575658321,0.00715988501906395,0.00846925936639309,0.008179972879588604,0.006553230341523886,0.007577604614198208,0.004617978818714619,0.003906002501025796,0.0051324754022061825,0.004216352943331003,0.005826986860483885,0.004027945920825005,0.004065820015966892,0.007654265966266394,0.0065098837949335575,0.006678522098809481,0.007193143479526043,0.01273063849657774,0.011358595453202724,0.025134902447462082,0.026609845459461212,0.012153029441833496,0.003137667663395405,0.005510141607373953,0.00659314077347517,0.005828053690493107,0.0038234717212617397,0.006341217085719109,0.002372190821915865,0.006023705471307039,0.005009480752050877,0.005654885899275541,0.00541149964556098,0.004536456428468227,0.009669018909335136,0.012690502218902111,0.011708704754710197,0.0066131544299423695,0.003901965217664838,0.005188215058296919,0.006759160198271275,0.0043707797303795815,0.004829290322959423,0.004094195086508989,0.005296484101563692,0.004744699690490961,0.006366329733282328,0.007291609887033701,477.67987060546875
0.296875,0.25,0.007193143479526043,0.01273063849657774,0.011358595453202724,0.025134902447462082,0.026609845459461212,0.012153029441833496,0.003137667663395405,0.005510141607373953,0.00659314077347517,0.005828053690493107,0.0038234717212617397,0.006341217085719109,0.002372190821915865,0.006023705471307039,0.005009480752050877,0.005654885899275541,0.00541149964556098,0.004536456428468227,0.009669018909335136,0.012690502218902111,0.011708704754710197,0.0066131544299423695,0.003901965217664838,0.005188215058296919,0.006759160198271275,0.0043707797303795815,0.004829290322959423,0.004094195086508989,0.005296484101563692,0.004744699690490961,0.006366329733282328,0.007291609887033701,0.007818334735929966,0.008897184394299984,0.014479797333478928,0.024550573900341988,0.01339154876768589,0.008765080012381077,0.004755852278321981,0.005783135071396828,0.00499856797978282,0.0044588432647287846,0.007226400543004274,0.004283776506781578,0.004278197418898344,0.005178490653634071,0.00551998196169734,0.0051255966536700726,0.004947562236338854,0.006443913094699383,0.013070855289697647,0.00974126998335123,0.00775339687243104,0.005961257498711348,0.004335290752351284,0.004329355899244547,0.006418565753847361,0.005099266767501831,0.006328660994768143,0.006105225533246994,0.004181333351880312,0.0057660676538944244,0.006002732086926699,0.005938741844147444,477.679443359375
0.3125,0.25,0.007818334735929966,0.008897184394299984,0.014479797333478928,0.024550573900341988,0.01339154876768589,0.008765080012381077,0.004755852278321981,0.005783135071396828,0.00499856797978282,0.0044588432647287846,0.007226400543004274,0.004283776506781578,0.004278197418898344,0.005178490653634071,0.00551998196169734,0.0051255966536700726,0.004947562236338854,0.006443913094699383,0.013070855289697647,0.00974126998335123,0.00775339687243104,0.005961257498711348,0.004335290752351284,0.004329355899244547,0.006418565753847361,0.005099266767501831,0.006328660994768143,0.006105225533246994,0.004181333351880312,0.0057660676538944244,0.006002732086926699,0.005938741844147444,0.006604035850614309,0.009075461886823177,0.0030889438930898905,0.010118144564330578,0.010300097987055779,0.009896262548863888,0.0053953747265040874,0.004967371933162212,0.0039220331236720085,0.002972590969875455,0.004632930271327496,0.003030590945854783,0.002352567622438073,0.005425134673714638,0.005334784742444754,0.004079710692167282,0.004321997053921223,0.005425134673714638,0.0077559989877045155,0.0037834506947547197,0.007259656675159931,0.006279026158154011,0.004832018632441759,0.003639504313468933,0.005398457404226065,0.0051087550818920135,0.005060008727014065,0.005054196808487177,0.005368103738874197,0.005209917202591896,0.0054991161450743675,0.006524451542645693,477.6793518066406
0.328125,0.25,0.006604035850614309,0.009075461886823177,0.0030889438930898905,0.010118144564330578,0.010300097987055779,0.009896262548863888,0.0053953747265040874,0.004967371933162212,0.0039220331236720085,0.002972590969875455,0.004632930271327496,0.003030590945854783,0.002352567622438073,0.005425134673714638,0.005334784742444754,0.004079710692167282,0.004321997053921223,0.005425134673714638,0.0077559989877045155,0.0037834506947547197,0.007259656675159931,0.006279026158154011,0.004832018632441759,0.003639504313468933,0.005398457404226065,0.0051087550818920135,0.005060008727014065,0.005054196808487177,0.005368103738874197,0.005209917202591896,0.0054991161450743675,0.006524451542645693,0.0042408062145113945,0.008683422580361366,0.006197638344019651,0.01603434793651104,0.01566615141928196,0.004849101882427931,0.00985117256641388,0.009598887525498867,0.005087288096547127,0.004287574905902147,0.00397938396781683,0.0037494851276278496,0.005145758390426636,0.010645388625562191,0.006437990814447403,0.004092176910489798,0.0038623036816716194,0.005215135402977467,0.009567362256348133,0.006331622134894133,0.008614284917712212,0.007161305285990238,0.008412283845245838,0.0035290364176034927,0.004349771421402693,0.00448020501062274,0.004939377307891846,0.0060823578387498856,0.004815646912902594,0.005103536881506443,0.005104248411953449,0.005835401825606823,477.6789855957031
0.34375,0.25,0.0042408062145113945,0.008683422580361366,0.006197638344019651,0.01603434793651104,0.01566615141928196,0.004849101882427931,0.00985117256641388,0.009598887525498867,0.005087288096547127,0.004287574905902147,0.00397938396781683,0.0037494851276278496,0.005145758390426636,0.010645388625562191,0.006437990814447403,0.004092176910489798,0.0038623036816716194,0.005215135402977467,0.009567362256348133,0.006331622134894133,0.008614284917712212,0.007161305285990238,0.008412283845245838,0.0035290364176034927,0.004349771421402693,0.00448020501062274,0.004939377307891846,0.0060823578387498856,0.004815646912902594,0.005103536881506443,0.005104248411953449,0.005835401825606823,0.005640661343932152,0.01270509697496891,0.01323380321264267,0.011979775503277779,0.015648899599909782,0.008186711929738522,0.008612394332885742,0.010596203617751598,0.0052979071624577045,0.005464260466396809,0.005822720471769571,0.006078684702515602,0.0035179888363927603,0.007541992701590061,0.006812678650021553,0.005398813169449568,0.0073942081071436405,0.009991630911827087,0.006955221761018038,0.004976505413651466,0.00724154943600297,0.006897567771375179,0.00403043907135725,0.0040708063170313835,0.004818019922822714,0.004632455296814442,0.007011807058006525,0.004770801402628422,0.004941038321703672,0.0067847357131540775,0.006121339276432991,0.007083067204803228,477.67938232421875
0.359375,0.25,0.005640661343932152,0.01270509697496891,0.01323380321264267,0.011979775503277779,0.015648899599909782,0.008186711929738522,0.008612394332885742,0.010596203617751598,0.0052979071624577045,0.005464260466396809,0.005822720471769571,0.006078684702515602,0.0035179888363927603,0.007541992701590061,0.006812678650021553,0.005398813169449568,0.0073942081071436405,0.009991630911827087,0.006955221761018038,0.004976505413651466,0.00724154943600297,0.006897567771375179,0.00403043907135725,0.0040708063170313835,0.004818019922822714,0.004632455296814442,0.007011807058006525,0.004770801402628422,0.004941038321703672,0.0067847357131540775,0.006121339276432991,0.007083067204803228,0.011396900750696659,0.014129716902971268,0.016762712970376015,0.024010131135582924,0.01861226186156273,0.007465559057891369,0.00530395470559597,0.004968083463609219,0.005592652130872011,0.006569455377757549,0.002681947313249111,0.0023843212984502316,0.004313569515943527,0.006356497760862112,0.006056645885109901,0.00573963625356555,0.0036393855698406696,0.009086093865334988,0.008641940541565418,0.007343206088989973,0.008826525881886482,0.00707324268296361,0.0030916770920157433,0.004341225605458021,0.005375929642468691,0.003939131740480661,0.004987180698662996,0.004514739383012056,0.0048799458891153336,0.007722168229520321,0.007523654028773308,0.007972088642418385,477.6800231933594
0.375,0.25,0.011396900750696659,0.014129716902971268,0.016762712970376015,0.024010131135582924,0.01861226186156273,0.007465559057891369,0.00530395470559597,0.004968083463609219,0.005592652130872011,0.006569455377757549,0.002681947313249111,0.0023843212984502316,0.004313569515943527,0.006356497760862112,0.006056645885109901,0.00573963625356555,0.0036393855698406696,0.009086093865334988,0.008641940541565418,0.007343206088989973,0.008826525881886482,0.00707324268296361,0.0030916770920157433,0.004341225605458021,0.005375929642468691,0.003939131740480661,0.004987180698662996,0.004514739383012056,0.0048799458891153336,0.007722168229520321,0.007523654028773308,0.007972088642418385,0.005709174554795027,0.005775312427431345,0.009998357854783535,0.01244587916880846,0.016203498467803,0.0105623509734869,0.0034316242672502995,0.006489631254225969,0.0018482997547835112,0.004942105617374182,0.0036180056631565094,0.003348816651850939,0.006135201547294855,0.007237880490720272,0.007154558785259724,0.0077341157011687756,0.006305798422545195,0.0068951998837292194,0.012507805600762367,0.007705252151936293,0.004916601814329624,0.005003668367862701,0.003471184289082885,0.0047322423197329044,0.0075173829682171345,0.007405567914247513,0.0042986138723790646,0.005849149543792009,0.006272273603826761,0.0072138551622629166,0.009885403327643871,0.017111171036958694,477.68011474609375
0.390625,0.25,0.005709174554795027,0.005775312427431345,0.009998357854783535,0.01244587916880846,0.016203498467803,0.0105623509734869,0.0034316242672502995,0.006489631254225969,0.0018482997547835112,0.004942105617374182,0.0036180056631565094,0.003348816651850939,0.006135201547294855,0.007237880490720272,0.007154558785259724,0.0077341157011687756,0.006305798422545195,0.0068951998837292194,0.012507805600762367,0.007705252151936293,0.004916601814329624,0.005003668367862701,0.003471184289082885,0.0047322423197329044,0.0075173829682171345,0.007405567914247513,0.0042986138723790646,0.005849149543792009,0.006272273603826761,0.0072138551622629166,0.009885403327643871,0.017111171036958694,0.007223205175250769,0.010467862710356712,0.004138121381402016,0.010750120505690575,0.01384417898952961,0.008294066414237022,0.0037675369530916214,0.003955992870032787,0.006118614226579666,0.006438938435167074,0.004813748877495527,0.003426278242841363,0.003512286813929677,0.009845506399869919,0.0035355696454644203,0.004081610590219498,0.004670306574553251,0.008150767534971237,0.006220029667019844,0.006998549215495586,0.003576075891032815,0.006090296432375908,0.004929887596517801,0.003924764227122068,0.007771731354296207,0.005833505652844906,0.006676390767097473,0.00610202644020319,0.0035203646402806044,0.005822009406983852,0.008300922811031342,0.00782791618257761,477.67999267578125
0.40625,0.25,0.007223205175250769,0.010467862710356712,0.004138121381402016,0.010750120505690575,0.01384417898952961,0.008294066414237022,0.0037675369530916214,0.003955992870032787,0.006118614226579666,0.006438938435167074,0.004813748877495527,0.003426278242841363,0.003512286813929677,0.009845506399869919,0.0035355696454644203,0.004081610590219498,0.004670306574553251,0.008150767534971237,0.006220029667019844,0.006998549215495586,0.003576075891032815,0.006090296432375908,0.004929887596517801,0.003924764227122068,0.007771731354296207,0.005833505652844906,0.006676390767097473,0.00610202644020319,0.0035203646402806044,0.005822009406983852,0.008300922811031342,0.00782791618257761,0.008693940006196499,0.010538287460803986,0.010825123637914658,0.019975798204541206,0.020734461024403572,0.008411692455410957,0.00794181227684021,0.005117057356983423,0.004480442497879267,0.005962916649878025,0.003191736526787281,0.002668274799361825,0.004988485481590033,0.007116919849067926,0.006679587997496128,0.005763815715909004,0.006684087682515383,0.006004035472869873,0.0065204245038330555,0.00736569007858634,0.007245809771120548,0.00778474286198616,0.004051335621625185,0.0035992383491247892,0.006102145183831453,0.005734184291213751,0.005996807012706995,0.006746727507561445,0.00366124021820724,0.006739978212863207,0.006384097505360842,0.0050346264615654945,477.6794738769531
0.421875,0.25,0.008693940006196499,0.010538287460803986,0.010825123637914658,0.019975798204541206,0.020734461024403572,0.008411692455410957,0.00794181227684021,0.005117057356983423,0.004480442497879267,0.005962916649878025,0.003191736526787281,0.002668274799361825,0.004988485481590033,0.007116919849067926,0.006679587997496128,0.005763815715909004,0.006684087682515383,0.006004035472869873,0.0065204245038330555,0.00736569007858634,0.007245809771120548,0.00778474286198616,0.004051335621625185,0.0035992383491247892,0.006102145183831453,0.005734184291213751,0.005996807012706995,0.006746727507561445,0.00366124021820724,0.006739978212863207,0.006384097505360842,0.0050346264615654945,0.003710767487064004,0.007152310106903315,0.02280217967927456,0.02091192454099655,0.006000954657793045,0.00949616078287363,0.017427993938326836,0.005130103323608637,0.005336326081305742,0.006462627090513706,0.004077573772519827,0.001555900671519339,0.003419863060116768,0.010188947431743145,0.0034753421787172556,0.004254101309925318,0.004012985620647669,0.005089541431516409,0.008862328715622425,0.00879414938390255,0.005461651831865311,0.005658086389303207,0.003970359917730093,0.00430193729698658,0.004779462236911058,0.004799275193363428,0.004169106017798185,0.005621220916509628,0.004368999041616917,0.005857090000063181,0.005854008719325066,0.005939452908933163,477.67987060546875
0.4375,0.25,0.003710767487064004,0.007152310106903315,0.02280217967927456,0.02091192454099655,0.006000954657793045,0.00949616078287363,0.017427993938326836,0.005130103323608637,0.005336326081305742,0.006462627090513706,0.004077573772519827,0.001555900671519339,0.003419863060116768,0.010188947431743145,0.0034753421787172556,0.004254101309925318,0.004012985620647669,0.005089541431516409,0.008862328715622425,0.00879414938390255,0.005461651831865311,0.005658086389303207,0.003970359917730093,0.00430193729698658,0.004779462236911058,0.004799275193363428,0.004169106017798185,0.005621220916509628,0.004368999041616917,0.005857090000063181,0.005854008719325066,0.005939452908933163,0.00845944881439209,0.011962931603193283,0.009625924751162529,0.010040727443993092,0.0056362757459282875,0.0057459184899926186,0.004886826500296593,0.0048561012372374535,0.00890900008380413,0.00779030192643404,0.005498405080288649,0.004925379995256662,0.0027661179192364216,0.0051030623726546764,0.006703034043312073,0.008055932819843292,0.004396890755742788,0.004755852278321981,0.009073689579963684,0.0069656395353376865,0.006187449675053358,0.00651201605796814,0.0031621474772691727,0.003998025320470333,0.007517619989812374,0.005108636803925037,0.005359922535717487,0.003904815064743161,0.0031332706566900015,0.004029489122331142,0.0038936531636863947,0.004282352048903704,477.679931640625
0.453125,0.25,0.00845944881439209,0.011962931603193283,0.009625924751162529,0.010040727443993092,0.0056362757459282875,0.0057459184899926186,0.004886826500296593,0.0048561012372374535,0.00890900008380413,0.00779030192643404,0.005498405080288649,0.004925379995256662,0.0027661179192364216,0.0051030623726546764,0.006703034043312073,0.008055932819843292,0.004396890755742788,0.004755852278321981,0.009073689579963684,0.0069656395353376865,0.006187449675053358,0.00651201605796814,0.0031621474772691727,0.003998025320470333,0.007517619989812374,0.005108636803925037,0.005359922535717487,0.003904815064743161,0.0031332706566900015,0.004029489122331142,0.0038936531636863947,0.004282352048903704,0.003502902342006564,0.009971094317734241,0.006160437595099211,0.01277889497578144,0.019634298980236053,0.010872174985706806,0.007852399721741676,0.0033378859516233206,0.007912363857030869,0.008503065444529057,0.004511891398578882,0.00511610833927989,0.00500758271664381,0.008102050982415676,0.007682894356548786,0.004398789722472429,0.0046380325220525265,0.009880327619612217,0.010784792713820934,0.006776447407901287,0.0037370147183537483,0.009838305413722992,0.005679660011082888,0.00518038822337985,0.007672247476875782,0.006398784928023815,0.004279621876776218,0.0043252017349004745,0.004342056345194578,0.004738648887723684,0.005190468393266201,0.006026549264788628,477.6792907714844
0.46875,0.25,0.003502902342006564,0.009971094317734241,0.006160437595099211,0.01277889497578144,0.019634298980236053,0.010872174985706806,0.007852399721741676,0.0033378859516233206,0.007912363857030869,0.008503065444529057,0.004511891398578882,0.00511610833927989,0.00500758271664381,0.008102050982415676,0.007682894356548786,0.004398789722472429,0.0046380325220525265,0.009880327619612217,0.010784792713820934,0.006776447407901287,0.0037370147183537483,0.009838305413722992,0.005679660011082888,0.00518038822337985,0.007672247476875782,0.006398784928023815,0.004279621876776218,0.0043252017349004745,0.004342056345194578,0.004738648887723684,0.005190468393266201,0.006026549264788628,0.007495375815778971,0.004836052190512419,0.01709769479930401,0.017690375447273254,0.016103442758321762,0.008061845786869526,0.013103211298584938,0.005795224104076624,0.008181036449968815,0.0055759372189641,0.005045420024544001,0.003820146666839719,0.00292397802695632,0.006616589147597551,0.00472263153642416,0.005502317100763321,0.00613105483353138,0.007963928394019604,0.006164702586829662,0.005874511320143938,0.004277366679161787,0.007019856944680214,0.007019383367151022,0.0043462105095386505,0.0041642384603619576,0.0033874292857944965,0.0030541226733475924,0.0058370609767735004,0.004914466291666031,0.004457300528883934,0.0044138627126812935,0.00646949652582407,477.6792297363281
0.484375,0.25,0.007495375815778971,0.004836052190512419,0.01709769479930401,0.017690375447273254,0.016103442758321762,0.008061845786869526,0.013103211298584938,0.005795224104076624,0.008181036449968815,0.0055759372189641,0.005045420024544001,0.003820146666839719,0.00292397802695632,0.006616589147597551,0.00472263153642416,0.005502317100763321,0.00613105483353138,0.007963928394019604,0.006164702586829662,0.005874511320143938,0.004277366679161787,0.007019856944680214,0.007019383367151022,0.0043462105095386505,0.0041642384603619576,0.0033874292857944965,0.0030541226733475924,0.0058370609767735004,0.004914466291666031,0.004457300528883934,0.0044138627126812935,0.00646949652582407,0.005498642101883888,0.011459952220320702,0.011553050018846989,0.018860645592212677,0.013564204797148705,0.016271408647298813,0.00516912154853344,0.0052668387070298195,0.005316761322319508,0.0035887856502085924,0.0040761493146419525,0.0031023728661239147,0.004171717446297407,0.003066126024350524,0.003999212756752968,0.004838543478399515,0.0075031849555671215,0.008424459025263786,0.011604662984609604,0.009146339260041714,0.003982708789408207,0.007079634815454483,0.008141662925481796,0.0046732728369534016,0.003404774935916066,0.003195420140400529,0.003750078845769167,0.004727021791040897,0.006715467199683189,0.006633759941905737,0.005427506286650896,0.0059037827886641026,477.68011474609375
0.5,0.25,0.005498642101883888,0.011459952220320702,0.011553050018846989,0.018860645592212677,0.013564204797148705,0.016271408647298813,0.00516912154853344,0.0052668387070298195,0.005316761322319508,0.0035887856502085924,0.0040761493146419525,0.0031023728661239147,0.004171717446297407,0.003066126024350524,0.003999212756752968,0.004838543478399515,0.0075031849555671215,0.008424459025263786,0.011604662984609604,0.009146339260041714,0.003982708789408207,0.007079634815454483,0.008141662925481796,0.0046732728369534016,0.003404774935916066,0.003195420140400529,0.003750078845769167,0.004727021791040897,0.006715467199683189,0.006633759941905737,0.005427506286650896,0.0059037827886641026,0.006057949271053076,0.00653250515460968,0.011552814394235611,0.011548100970685482,0.011695154942572117,0.013360613025724888,0.004441634751856327,0.0050953528843820095,0.007830754853785038,0.008774533867835999,0.0030734941828995943,0.00294775003567338,0.0038368909154087305,0.009606444276869297,0.003668366465717554,0.003512286813929677,0.00451604463160038,0.005586013663560152,0.006417855154722929,0.004429291933774948,0.004779699724167585,0.004250777419656515,0.004582736175507307,0.004337427206337452,0.00632510706782341,0.004995602648705244,0.006737373303622007,0.006900053936988115,0.006065414287149906,0.006582245696336031,0.004987180698662996,0.0049795894883573055,477.679931640625
